Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2023-12-11,0.0436,0.093,-0.0628,0.1095,0.1309,0.0436,0.093,0.9606,0.9472,3.0,0,0,0.0011,-0.2845,0.3333,3,0,0.0436,3,0.1723
2023-12-12,0.2766,0.2405,0.1065,0.4467,0.5531,0.2766,0.2405,0.6728,0.4937,2.0,1,0,-0.0486,0.0042,1.0,2,1,0.2766,2,0.3402
2023-12-13,0.1586,0.0342,0.1344,0.1829,0.3173,0.1586,0.0342,0.8564,0.7919,2.0,1,0,0.3716,-0.1358,0.0,2,1,0.1586,2,0.048500000000000015
2023-12-14,-0.1857,0.283,-0.3857,0.0144,-0.3713,-0.1857,0.283,0.78,0.6416,2.0,0,1,-0.7518,-0.1077,0.7059,2,-1,0.1857,2,0.4001
2023-12-15,-0.0274,0.3899,-0.3491,0.4062,-0.0822,-0.0274,0.3899,0.7674,0.5722,3.0,1,1,-0.1714,0.2916,0.0,3,0,0.0274,3,0.7553000000000001
2023-12-18,0.1237,,0.1237,0.1237,0.1237,0.1237,,0.9,0.9,1.0,0,0,-0.0585,-0.7351,1.0,1,0,0.1237,1,0.0
2023-12-19,0.4077,0.2746,0.1173,0.6632,1.2231,0.4077,0.2746,0.8928,0.8055,3.0,2,0,0.6202,-0.0121,0.3333,3,2,0.4077,3,0.5459
2023-12-20,-0.0308,0.4966,-0.382,0.3204,-0.0616,-0.0308,0.4966,0.8115,0.6866,2.0,1,1,-0.5249,0.4084,0.5,2,0,0.0308,2,0.7024
2023-12-21,0.024,0.1656,-0.0931,0.1411,0.048,0.024,0.1656,0.6707,0.3981,2.0,0,0,0.0564,-0.0209,0.0,2,0,0.024,2,0.23420000000000002
2023-12-22,0.3079,0.4455,-0.0071,0.623,0.6158,0.3079,0.4455,0.7652,0.7205,2.0,1,0,-0.1127,0.3214,1.0,2,1,0.3079,2,0.6301
2023-12-26,0.3125,0.2443,0.0322,0.4806,0.9374,0.3125,0.2443,0.92,0.8957,3.0,2,0,-0.0218,0.6168,0.6667,3,2,0.3125,3,0.4484
2023-12-27,-0.233,0.034,-0.257,-0.2089,-0.466,-0.233,0.034,0.7557,0.7,2.0,0,2,-0.648,-0.295,0.5,2,-2,0.233,2,0.048100000000000004
2023-12-28,0.2814,0.3417,0.0397,0.523,0.5628,0.2814,0.3417,0.7867,0.6646,2.0,1,0,0.1093,0.3836,0.5,2,1,0.2814,2,0.4833
2023-12-29,0.0647,0.4794,-0.2742,0.4037,0.1294,0.0647,0.4794,0.8084,0.7719,2.0,1,1,0.3174,-0.4699,0.0,2,0,0.0647,2,0.6779
2024-01-01,0.149,,0.149,0.149,0.149,0.149,,0.952,0.952,1.0,0,0,-0.025,0.8074,0.0,1,0,0.149,1,0.0
2024-01-02,-0.0939,0.1397,-0.1926,0.0049,-0.1877,-0.0939,0.1397,0.9358,0.8997,2.0,0,1,-0.0205,-0.4182,0.0,2,-1,0.0939,2,0.19749999999999998
2024-01-03,-0.1166,0.3323,-0.4131,0.2426,-0.3499,-0.1166,0.3323,0.6356,0.4769,3.0,1,2,-0.3879,-0.1295,0.3441,3,-1,0.1166,3,0.6557000000000001
2024-01-04,0.1072,0.4204,-0.1901,0.4044,0.2144,0.1072,0.4204,0.7586,0.6797,2.0,1,1,0.0789,-0.4112,0.5,2,0,0.1072,2,0.5945
2024-01-05,-0.147,0.2154,-0.2776,0.1016,-0.441,-0.147,0.2154,0.7317,0.57,3.0,0,2,-0.2651,-0.0724,0.0,3,-2,0.147,3,0.3792
2024-01-08,0.1049,,0.1049,0.1049,0.1049,0.1049,,0.9409,0.9409,1.0,0,0,-0.0369,-0.8834,1.0,1,0,0.1049,1,0.0
2024-01-09,0.167,0.2971,-0.043,0.3771,0.3341,0.167,0.2971,0.7681,0.6081,2.0,1,0,0.2688,-0.5868,0.5,2,1,0.167,2,0.4201
2024-01-10,-0.0294,0.1251,-0.1178,0.059,-0.0588,-0.0294,0.1251,0.8146,0.6571,2.0,0,0,-0.141,-0.5446,0.5,2,0,0.0294,2,0.1768
2024-01-11,-0.0959,0.0535,-0.1477,-0.041,-0.2877,-0.0959,0.0535,0.9043,0.8202,3.0,0,0,-0.558,-0.0845,0.6667,3,0,0.0959,3,0.10669999999999999
2024-01-12,0.1615,0.3045,-0.0538,0.3769,0.3231,0.1615,0.3045,0.9396,0.9143,2.0,1,0,-0.4391,0.4054,1.0,2,1,0.1615,2,0.4307
2024-01-15,0.0653,0.0826,0.0068,0.1237,0.1305,0.0653,0.0826,0.8277,0.7385,2.0,0,0,-0.3767,0.518,0.5,2,0,0.0653,2,0.1169
2024-01-16,0.1685,0.4365,-0.3049,0.7037,0.6741,0.1685,0.4365,0.8698,0.7813,4.0,2,1,0.159,-0.131,0.3841,4,1,0.1685,4,1.0086
2024-01-17,0.068,0.1457,-0.0813,0.2098,0.2039,0.068,0.1457,0.9464,0.9201,3.0,1,0,-0.3011,0.0927,0.6667,3,1,0.068,3,0.29109999999999997
2024-01-18,0.4472,0.0317,0.4248,0.4697,0.8944,0.4472,0.0317,0.9175,0.8888,2.0,2,0,0.4167,0.4442,0.5,2,2,0.4472,2,0.044899999999999995
2024-01-19,-0.0383,0.368,-0.4528,0.2502,-0.115,-0.0383,0.368,0.7641,0.4239,3.0,1,1,-0.2699,-0.0168,0.3333,3,0,0.0383,3,0.703
2024-01-23,0.2737,0.2089,0.0374,0.4338,0.821,0.2737,0.2089,0.8356,0.64,3.0,2,0,0.2108,0.3413,0.3333,3,2,0.2737,3,0.39640000000000003
2024-01-24,-0.2543,0.073,-0.3102,-0.1717,-0.7628,-0.2543,0.073,0.9222,0.8834,3.0,0,3,-0.6313,0.307,0.0,3,-3,0.2543,3,0.13849999999999998
